programme_title,programme_url,track,year_label,course_name,period,ects,code
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",English Language Test,1.0,0,VU_ELT
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Objects in Context. An Interdisciplinary Perspective on the Ancient World,1.0,6,L_AABAOHW115
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",The Classical Canon I: The Heritage of Antiquity,1.0,6,L_AABAOHW101
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",A Cultural History of the Ancient World 1: The Near East and the Greek World,2.0,6,L_AABAAGO101
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Cultural Contact: East and West,2.0,6,L_AABAOHW102
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Historical Sources,3.0,6,L_AABAAGO108
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1","A Cultural History of the Ancient World 2: The Hellenistic World, Italy and Rome",4.0,6,L_AABAAGO102
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Archaeology of Prehistoric and Roman Europe,4.0,6,L_AABAARC108
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Classical Mythology,4.0,6,L_AABAOHW114
Ancient Studies,https://studiegids.vu.nl/en/Bachelor/2025-2026/ancient-studies,"Bachelor Ancient Studies, Track Ancient Studies","Bachelor Ancient Studies, Track Ancient Studies Year 1",Elementary Akkadian and A History of Ancient Mesopotamian Literature 1,4.0,6,L_AABAOHW103
